date,Conservatives,Labour,Lib Dem,UKIP,Green,SNP,Plaid,Reform,ChangeUK
2018-01-01,40.22,41.1,7.39,3.78,1.83,3.96,1.0,,
2018-01-02,40.22,41.09,7.41,3.74,1.88,3.94,1.0,,
2018-01-03,40.23,41.08,7.43,3.71,1.93,3.93,1.0,,
2018-01-04,40.24,41.07,7.45,3.67,1.98,3.92,1.0,,
2018-01-05,40.24,41.06,7.46,3.64,2.03,3.9,1.0,,
2018-01-06,40.25,41.05,7.48,3.6,2.08,3.89,1.0,,
2018-01-07,40.26,41.03,7.5,3.57,2.12,3.87,1.0,,
2018-01-08,40.26,41.02,7.52,3.53,2.17,3.86,1.0,,
2018-01-09,40.28,41.01,7.37,3.65,2.3,3.82,1.0,,
2018-01-10,40.3,41.0,7.23,3.78,2.42,3.77,1.0,,
2018-01-11,40.31,40.99,7.09,3.9,2.55,3.72,1.0,,
2018-01-12,40.33,40.98,6.95,4.03,2.67,3.68,1.0,,
2018-01-13,40.36,41.01,6.98,3.95,2.69,3.55,1.0,,
2018-01-14,40.39,41.04,7.01,3.87,2.7,3.42,1.0,,
2018-01-15,40.44,41.07,7.03,3.75,2.61,3.44,1.0,,
2018-01-16,40.48,41.1,7.06,3.64,2.52,3.46,1.0,,
2018-01-17,40.53,41.13,7.09,3.53,2.44,3.47,1.0,,
2018-01-18,40.56,41.13,7.13,3.57,2.54,3.37,1.0,,
2018-01-19,40.59,41.13,7.17,3.62,2.65,3.27,1.0,,
2018-01-20,40.59,41.14,7.25,3.5,2.56,3.31,1.0,,
2018-01-21,40.59,41.15,7.33,3.39,2.47,3.36,1.0,,
2018-01-22,40.59,41.16,7.41,3.27,2.38,3.4,1.0,,
2018-01-23,40.59,41.17,7.49,3.16,2.3,3.45,1.0,,
2018-01-24,40.64,41.16,7.45,3.08,2.3,3.4,1.0,,
2018-01-25,40.68,41.15,7.41,3.0,2.31,3.36,1.0,,
2018-01-26,40.73,41.13,7.38,2.92,2.32,3.31,1.0,,
2018-01-27,40.77,41.12,7.34,2.84,2.33,3.26,1.0,,
2018-01-28,40.82,41.11,7.3,2.76,2.34,3.22,1.0,,
2018-01-29,40.86,41.09,7.27,2.68,2.34,3.17,1.0,,
2018-01-30,40.89,41.0,7.33,2.76,2.49,3.13,1.0,,
2018-01-31,40.91,40.9,7.39,2.84,2.64,3.09,1.0,,
2018-02-01,40.94,40.81,7.45,2.92,2.79,3.06,1.0,,
2018-02-02,40.97,40.71,7.52,3.01,2.94,3.02,1.0,,
2018-02-03,40.99,40.62,7.58,3.09,3.08,2.98,1.0,,
2018-02-04,41.02,40.52,7.64,3.17,3.23,2.95,1.0,,
2018-02-05,41.05,40.45,7.66,3.31,3.18,2.89,1.0,,
2018-02-06,41.07,40.37,7.67,3.45,3.13,2.84,1.0,,
2018-02-07,41.02,40.36,7.64,3.75,3.13,2.72,1.0,,
2018-02-08,40.97,40.34,7.61,4.04,3.12,2.61,1.0,,
2018-02-09,40.88,40.38,7.67,4.13,3.11,2.5,1.0,,
2018-02-10,40.82,40.43,7.7,4.08,2.92,2.6,1.0,,
2018-02-11,40.75,40.48,7.72,4.03,2.73,2.7,1.0,,
2018-02-12,40.69,40.54,7.75,3.97,2.53,2.79,1.0,,
2018-02-13,40.71,40.66,7.73,3.91,2.34,2.89,1.0,,
2018-02-14,40.75,40.77,7.69,3.83,2.29,2.96,1.0,,
2018-02-15,40.8,40.89,7.64,3.74,2.25,3.02,1.0,,
2018-02-16,40.84,41.0,7.6,3.66,2.2,3.09,1.0,,
2018-02-17,40.88,41.11,7.55,3.58,2.16,3.16,1.0,,
2018-02-18,40.93,41.22,7.51,3.49,2.11,3.22,1.0,,
2018-02-19,40.97,41.34,7.46,3.41,2.07,3.29,1.0,,
2018-02-20,40.98,41.39,7.48,3.45,2.05,3.44,1.0,,
2018-02-21,41.02,41.42,7.44,3.37,2.06,3.46,1.0,,
2018-02-22,41.06,41.45,7.39,3.28,2.07,3.49,1.0,,
2018-02-23,41.1,41.48,7.35,3.2,2.08,3.51,1.0,,
